Nazvanie_knigi;Nazvanie_na_jazyke_originala;Opisanie;ISBN;Avtor;Izdatelstvo;God_vypuska;Kolichestvo_stranic;Perepljot;Serija;Tirazh;Format;Ves;Oblozhka;Kategorija;Podkategoriya_1;Podkategoriya_2;Podkategoriya_3;Podkategoriya_4;Podkategoriya_5;Podkategoriya_6;Podkategoriya_7
10000 советов. Уход за ребенком от рождения до 3-х лет;;Чем кормить малыша? В какие игры ему играть? Что делать, если ребенок заболел? Как справиться с трудностями общения? На эти и другие вопросы молодые родители найдут исчерпывающие ответы в книге.   Для широкого круга читателей.;9,79E+12;Белов Н.В.;Харвест;2008;128;твердый;10000 советов;5100;70x100/16;0, 3;10000-sovetov-uhod-za-rebenkom-ot-rojdeniya-do-3-h-let_4518847.jpg;Книги;Детская литература. Книги для детей и родителей;Книги для родителей;Здоровье ребенка;;;;
1000 фактов об Украине;;В книге приводятся советы по изготовлению и обустройству аквариума, содержанию и разведению аквариумных рыб и растений, лечению заболеваний рыб. Кратко рассматривается такая тема, как содержание акватеррариумных животных.;978-966-03-5604-7;Скляренко В., Сядро В.;Folio;2012;320;твердый;;2000;60x90/16;0, 39;1000-faktov-ob-ukraine_10093718.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;История отдельных стран;;;
10000 советов аквариумисту;;В книге приводятся советы по изготовлению и обустройству аквариума, содержанию и разведению аквариумных рыб и растений, лечению заболеваний рыб. Кратко рассматривается такая тема, как содержание акватеррариумных животных.;9,79E+12;Белов Н.В.;Харвест;2007;605;твердый;10000 советов;;84x108/32;0.4;10000-sovetov-akvariumistu_4394516.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Домашние животные. Аквариум;Кошки;;;
10 000 лучших пословиц и поговорок на все случаи жизни;;Пословицы и поговорки разных народов мира станут вашими незаменимыми помощниками в общении с людьми.   В этой книге собраны пословицы и поговорки на самые разные темы, они украсят вашу речь, придадут словам особую глубину и значение.;9,79E+12;Mr. Dick;Владис;2010;159;твердый;;;84x108/32;;10-000-luchshih-poslovits-i-pogovorok-na-vse-sluchai-jizni_4618317.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Общее и прикладное языкознание;;;
1000 игр и заданий для интеллектуального развития. 5-6 лет;;Для широкого круга читателей.;978-5-17-084347-3;Дмитриева В.Г.;АСТ;2014;112;мягкий;Знайка;4000;84x108/16;0, 25;1000-igr-i-zadaniy-dlya-intellektualnogo-razvitiya-5-6-let_10846970.jpg;Книги;Детская литература. Книги для детей и родителей;Обучающая и развивающая литература для детей;Общее развитие. Пособия, справочники;;;;
10 000 советов для тех, кто ждет ребенка;;"В книге ""10 000 советов для тех, кто ждет ребенка"", рассчитанной на будущих мам и пап, в простой и доступной форме рассказывается о самых важных периодах материнства: беременности, рождении, питании и развитии младенцев.";9,79E+12;Конева Л.С.;Харвест;2007;640;твердый;;;84х108/32;0.7;10-000-sovetov-dlya-teh-kto-jdet-rebenka_5724984.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Педиатрия;Беременность и уход за новорожденными детьми;;;
1000 идей для вашего ремонта;;Максимально освещены вопросы самостоятельного ремонта квартиры, установки и замены различных внутренних конструкций, внедрения дизайнерских находок в оформление интерьера. Наша книга поможет вам найти новые интересные, практичные решения и провести ремонт с минимальными временными и материальными затратами, сделать ваше жилище теплым, комфортным и уютным. Для широкого круга читателей.;978-5-271-39602-1;Руцкая Т.В.;Астрель;2012;159;твердый;Домашняя библиотека;;84x108/32;;1000-idey-dlya-vashego-remonta_5324891.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Строительство и ремонт;Интерьер квартиры, дома;;;
1000 исторических анекдотов. Удивительные и малоизвестные факты из жизни знаменитых людей;;Бумага и карандаш всегда у нас под рукой. А значит, всегда можно поиграть в какую-нибудь веселую и умную игру. В часы досуга и во время ДОЛГОГО пути, в компании друзей или в одиночестве - для любого случая и любого возраста можно найти подходящую игру. Игры на бумаге доступны всем и всегда.   К тому же они удивительно разнообразны: игры с буквами и словами, стратегические, тактические, развлекательные, творческие, игры на координацию, сообразительность и многие другие. Книга, предлагаемая вашему вниманию, содержит и хорошо известные игры, и целый ряд игр, описанных впервые. Они не только дадут возможность весело и интересно провести время, но и станут отличной тренировкой для ума: помогут развить память, сообразительность, умение анализировать. Немного изменив правила, можно получить более сложные или более простые варианты и даже придумать собственную игру.;9,79E+12;Кессельман В.;АСТ;2007;414;твердый;;;84x108/32;0.3;1000-istoricheskih-anekdotov-udivitelnyie-i-maloizvestnyie-faktyi-iz-jizni-znamenityih-lyudey_4286770.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Отечественная сатира и юмор;;;;
1000 лучших рецептов праздничного стола;;Для широкого круга читателей.;5170378076;Выдревич Г.С.;АСТ;2006;447;мягкий;1000 лучших рецептов;;70x90 1/16;0.4;1000-luchshih-retseptov-prazdnichnogo-stola_4086916.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Праздничная кухня;;;
10000 советов рыболову;;Для широкого круга читателей.;5170136765;Иванов Н.Н.;АСТ;2007;432;твердый;;5000;60х90/16;0, 485;10000-sovetov-ryibolovu_4964604.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Хобби;Книги об охоте и рыбалке;;;
1000 игр для путешественников;;Бумага и карандаш всегда у нас под рукой. А значит, всегда можно поиграть в какую-нибудь веселую и умную игру. В часы досуга и во время ДОЛГОГО пути, в компании друзей или в одиночестве - для любого случая и любого возраста можно найти подходящую игру. Игры на бумаге доступны всем и всегда.   К тому же они удивительно разнообразны: игры с буквами и словами, стратегические, тактические, развлекательные, творческие, игры на координацию, сообразительность и многие другие. Книга, предлагаемая вашему вниманию, содержит и хорошо известные игры, и целый ряд игр, описанных впервые. Они не только дадут возможность весело и интересно провести время, но и станут отличной тренировкой для ума: помогут развить память, сообразительность, умение анализировать. Немного изменив правила, можно получить более сложные или более простые варианты и даже придумать собственную игру.;9,79E+12;Mr. Dick;Аст-Пресс;2008;240;твердый;1000 советов;10000;60х90/16;0, 268;1000-igr-dlya-puteshestvennikov_5742338.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Праздники. Развлечения. Игры;;;;
1000 лучших рецептов раздельного питания;;Многие знают, что раздельное питание - это не только очень полезно, но и очень вкусно! Данная книга поможет получить целостное представление об этой системе и разобраться в основных правилах приема пищи. 1000 интересных кулинарных рецептов, основанных на принципах раздельного питания, позволят одновременно получать удовольствие от еды и оздоравливаться!;978-5-386-06165-4;;Рипол Классик;2013;576;твердый;Ваш домашний повар;5000;60x84/32;0, 236;1000-luchshih-retseptov-razdelnogo-pitaniya_10238626.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Здоровое питание;Здоровое и диетическое питание;;
10000 лучших тостов, поздравлений;;Для широкого круга читателей.;9,79E+12;Белов Н.В.;Харвест;2007;351;твердый;;;84х108/32;0.3;10000-luchshih-tostov-pozdravleniy_4543968.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Праздники. Развлечения. Игры;;;;
1000 боев и сражений русского оружия. IX-XXI века;;Воспроизведено в оригинальной авторской орфографии.    ;9,79E+12;Шефов Н.А.;АСТ;2007;832;твердый;Неизвестные войны;4000;60x90/16;0, 925;1000-boev-i-srajeniy-russkogo-orujiya-ix-xxi-veka_5748785.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;История;История войн;Общие работы по истории войн;;
0 января;;Воспроизведено в оригинальной авторской орфографии.    ;9,79E+12;Малатов А.В.;АСТ;2009;350;твердый;;;84x90/32;0.5;0-yanvarya_5722730.jpg;Книги;Художественная литература. Публицистика. Мемуары;Отечественная проза;Современная отечественная проза (с 1991 г.);;;;
100 000 слов мудрости. Большая книга афоризмов;;Предлагаемый сборник веселых и мудрых изречений, высказываний известных людей отражает особенности жизни разных времен и народов.   Афоризмы рождаются как в рамках философских, литературно-художественных и научно-популярных произведений, так и самостоятельно. Нередко одна и та же мысль повторяется разными авторами в разное время, что и демонстрирует связь поколений. Значение крылатых выражений в жизни человека огромно, они побуждают людей к размышлению, к оценке тех или иных явлений.;9,79E+12;Mr. Dick;Владис;2010;640;твердый;Историческая библиотека;;70х100/16;0.9;100-000-slov-mudrosti-bolshaya-kniga-aforizmov_4617108.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Афоризмы. Притчи. Цитаты;;;;
10 000 афоризмов великих мудрецов;;Воспроизведено в оригинальной авторской орфографии.    ;978-5-227-02786-3;;Центрполиграф;2011;528;твердый;;;70х100/16;0, 805;10-000-aforizmov-velikih-mudretsov_4700295.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Афоризмы. Притчи. Цитаты;;;;
1000 Exercises in Physics;;Воспроизведено в оригинальной авторской орфографии.    ;9,78E+12;Gage Alfred Payson;Книга по Требованию;2011;80;мягкий;;;;0.13 кг;1000-exercises-in-physics_10010440.jpg;Книги;Книга по требованию;Математика и естественные науки;Все книги раздела Математика и естественные науки;;;;
1000 английских слов;;Эта книга поможет вам разнообразить повседневное и праздничное меню домашними вкусностями. В нее мы включили рецепты для любого приема пиши - от салатов и до десертов, простые и посложнее - для любого уровня кулинарной подготовки, из самых обычных продуктов и продуктов экзотических, на любителя. Четкая рецептура и инструкции сделают процесс приготовления пищи простым и приятным. В книгу вошли проверенные на редакционной кухне рецепты от шеф-поваров и обычных хозяек.;978-5-17-072130-6;;АСТ;2011;159;интегральный;;10000;70x90/32;0.105;1000-angliyskih-slov_4993114.jpg;Книги;Профессиональная, специальная  и учебная литература;Книги для школы;Поиск пособий по предметам;Иностранные языки;Английский язык;;
1000 конкурсов, заданий, игр. Большая книга праздников;;Детский праздник без веселья и волшебства - разве это праздник? В этой книге вы найдете смешные игры, конкурсы и аттракционы, фокусы, розыгрыши, шутки - ваши дети будут в восторге!;9,79E+12;Юлия Андреева;ООО Издательство АСТ;2009;223;твердый;;;84x108 1/32;0.3;1000-konkursov-zadaniy-igr-bolshaya-kniga-prazdnikov_5729342.jpg;Книги;Детская литература. Книги для детей и родителей;Детское творчество и досуг;Организация детских праздников;;;;
1000 английских слов и выражений;;Данное издание позволит вам улучшить знания английского языка.   Здесь вы найдете элементы разговорной лексики, делового английского, элементы лексики английского языка из сферы международных отношений, ознакомитесь с лексикой публицистического стиля, а также с неологизмами. Удобная и простая форма подачи материала поможет читателю не только овладеть новыми знаниями, но и получить удовольствие от учебы.;9,79E+12;Ренуччи Клод;Астрель;2011;159;мягкий;;;84x108/16;;1000-angliyskih-slov-i-vyirajeniy_4980251.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Учебная литература для изучающих английский язык
10 000 афоризмов, мыслей, высказываний великих и знаменитых;;Афоризмы - это мудрость тысячелетий, заключенная в одной фразе.   В настоящую книгу пошли изречения великих философов, знаменитых писателей, известных ученых, общественных и политических деятелей с древнейших времен до наших дней. И если вы человек, склонный к размышлениям и философским исканиям, то настоящий сборник послужит нам не только богатой пищей для ума. но и прекрасным средством отрешиться от повседневных забот философски взглянуть на бурлящую вокруг жизнь, а также даст возможность приятно отдохнуть. Насладитесь очарованием тонкой мысли и блеском человеческого разума!;9,79E+12;Mr. Dick;Харвест;2010;400;твердый;;5100;70x100/16;0, 637;10-000-aforizmov-myisley-vyiskazyivaniy-velikih-i-znamenityih_5707176.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Афоризмы. Притчи. Цитаты;;;;
1000 и один способ быть самим собой;;Эта книга поможет вам разнообразить повседневное и праздничное меню домашними вкусностями. В нее мы включили рецепты для любого приема пиши - от салатов и до десертов, простые и посложнее - для любого уровня кулинарной подготовки, из самых обычных продуктов и продуктов экзотических, на любителя. Четкая рецептура и инструкции сделают процесс приготовления пищи простым и приятным. В книгу вошли проверенные на редакционной кухне рецепты от шеф-поваров и обычных хозяек.;978-5-17-082722-0;Некрасов А.А.;АСТ;2012;256;твердый;;;84x108/32;;1000-i-odin-sposob-byit-samim-soboy_10661503.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Психология;Социальная психология;;;
1000 игр и заданий для интеллектуального развития. 4-5 лет;;Эта книга поможет вам разнообразить повседневное и праздничное меню домашними вкусностями. В нее мы включили рецепты для любого приема пиши - от салатов и до десертов, простые и посложнее - для любого уровня кулинарной подготовки, из самых обычных продуктов и продуктов экзотических, на любителя. Четкая рецептура и инструкции сделают процесс приготовления пищи простым и приятным. В книгу вошли проверенные на редакционной кухне рецепты от шеф-поваров и обычных хозяек.;978-5-17-084346-6;Дмитриева В.Г.;АСТ;2014;112;мягкий;Знайка;4000;84x108/16;0, 25;1000-igr-i-zadaniy-dlya-intellektualnogo-razvitiya-4-5-let_10846974.jpg;Книги;Детская литература. Книги для детей и родителей;Обучающая и развивающая литература для детей;Общее развитие. Пособия, справочники;;;;
1000 избранных сочинений;;Эта книга поможет вам разнообразить повседневное и праздничное меню домашними вкусностями. В нее мы включили рецепты для любого приема пиши - от салатов и до десертов, простые и посложнее - для любого уровня кулинарной подготовки, из самых обычных продуктов и продуктов экзотических, на любителя. Четкая рецептура и инструкции сделают процесс приготовления пищи простым и приятным. В книгу вошли проверенные на редакционной кухне рецепты от шеф-поваров и обычных хозяек.;978-5-91503-060-1;Ларина О.В., Мошенская Г.Г., Королева Н.В., Антонова Н.П.;Славянский дом книги;2009;960;твердый;;5000;84x108/32;0, 65;1000-izbrannyih-sochineniy_5858114.jpg;Книги;Профессиональная, специальная  и учебная литература;Книги для школы;Поиск пособий по предметам;Русский язык и литература;Русская литература;;
1000 + 1 тост. На все случаи жизни. Издание 2;;"Тост - английское слово, обозначающее слегка обжаренный ломтик хлеба.   В старину жители Британских островов, прежде чем выпить вино или какой-либо более крепкий напиток, окунали в него поджаренный на огне ломтик хлеба, чтобы напиток впитал в себя также и хлебный аромат. Впоследствии традиция забылась, но возникла другая: произносить тост перед тем, как выпить вина.<br/>Итак, тост. Как сделать его легким и запоминающимся, остроумным, зажигательным? Лучше придумать тост ""на месте"" или все-таки использовать домашнюю заготовку? Решать вам. Однако практика показывает, что импровизация импровизацией, но, как известно, лучший экспромт тот, который заготовлен заранее. Если вы знаете, что вас ожидает торжественный обед в хорошей компании и предстоит произнести спич или поздравление, то не поленитесь заглянуть в эту книгу.<br/>Корпоративный праздник, студенческая пирушка, свадьба, юбилей - ни один праздник не обойдется теперь без вашего искрометного пожелания в адрес виновника торжества.";9,79E+12;Новоселова Т.А.;Феникс;2010;159;твердый;Зажигаем;;84x108/32;;1000-1-tost-na-vse-sluchai-jizni-izdanie-2_4888347.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Праздники. Развлечения. Игры;;;;
1000 прикольных SMS-ок для молодых, веселых и... влюбленных;;SMS-ки в настоящее время используются ничуть не реже, чем звонки с обычных и мобильных телефонов. Короткие, а иногда и длинные послания отправляют не только с мобильных телефонов, но и из Интернета по разным поводам и без них - чтобы поздравить друзей с каким-либо значимым событием, чтобы признаться в любви, передать нужную информацию или просто пообщаться. В этой книге вы найдете множество посланий, предназначенных для самых различных случаев. Вы сможете выбрать оригинальное поздравление к празднику или к дню рождения и отправить его своим друзьям, а также посмеяться над SMS-приколами.   ;978-5-7905-5241-0;Воронцов А.А.;РИПОЛ;2007;192;мягкий;;;;0.24 кг;1000-prikolnyih-sms-ok-dlya-molodyih-veselyih-i-vlyublennyih_6059162.jpg;Книги;Книга по требованию;Увлечения, спорт и досуг;Все книги раздела Увлечения, спорт и досуг;;;;
